#,Course,Location,Holes,Par,Yards,Difficulty,Green Fees,Tee Times,Website
25,ShadowGlen GC,"Manor, TX",18,72,"7,205",High,$65–$95,Yes,https://www.shadowglengolf.com/
26,San Gabriel GC,"Georgetown, TX",18,72,"6,500",Moderate,$35–$55,Yes,https://georgetowncountryclub.net/
27,Star Ranch GC,"Hutto, TX",18,71,"7,017",Moderate,$62–$119,Yes,https://www.starranchgolf.com/
28,Crystal Falls GC,"Leander, TX",18,72,"6,654",Moderate,$42–$59,Yes,https://www.crystalfallsgolf.com/
29,Avery Ranch GC,"Austin, TX",18,72,"7,121",Challenging,$50–$74,Yes,https://www.averyranchhoa.com/
30,Hancock GC,"Austin, TX",18,70,"4,500",Easy,$18,Yes,https://www.austintexas.gov/department/hancock-course
31,Jimmy Clay GC,"Austin, TX",18,72,"6,857",Moderate,$30–$37,Yes,https://www.austintexas.gov/department/jimmy-clay-course
32,Morris Williams GC,"Austin, TX",18,72,"6,637",Moderate,$30–$37,Yes,https://www.austintexas.gov/department/morris-williams-course
33,Lions Municipal GC,"Austin, TX",18,71,"6,001",Moderate,$30–$37,Yes,https://www.austintexas.gov/department/lions-municipal-course
34,Roy Kizer GC,"Austin, TX",18,71,"6,819",Moderate-High,$35–$44,Yes,https://www.austintexas.gov/department/roy-kizer-course
35,Blackhawk GC,"Pflugerville, TX",18,72,"7,072",Moderate,$32–$44,Yes,https://www.blackhawkgolf.com/
36,Forest Creek GC,"Round Rock, TX",18,72,"7,147",Challenging,~$75,Yes,https://www.forestcreekgolf.com/
37,Teravista GC,"Round Rock, TX",18,72,"7,039",Challenging,$52–$72,Yes,https://www.teravistagolf.com/
38,Lago Vista GC,"Lago Vista, TX",18,72,"6,579",Moderate,$48–$54,Yes,https://www.lagovistagolf.com/
39,Harvey Penick Golf Campus,"Austin, TX",9,30,"2,127",Beginner,$13,Yes (walk-in),https://www.harveypenickgolfcampus.com/
40,Falconhead GC,"Austin, TX",18,72,"7,302",Challenging,$69–$99,Yes,https://www.falconheadgolf.com/
41,Grey Rock GC,"Austin, TX",18,72,"7,120",Challenging,$75–$120,Yes,https://www.greyrockgolf.com/
42,Butler Pitch & Putt,"Austin, TX",9,27,Short,Beginner,$14–$16,Yes (walk-in),https://www.austintexas.gov/department/butler-pitch-putt
43,Cedars on Bergstrom GC,"Austin, TX",18,—,—,—,Call,Call,https://www.cedarsonbergstrom.com/
44,River Place CC,"Austin, TX",18,71,"6,683",Challenging,$100+,Limited Public,https://www.riverplacecc.com/
45,Canyon Springs GC,"San Antonio, TX",18,72,"6,800",Challenging,$60–$95,Yes,https://www.canyonspringsgc.com/
46,Republic GC,"San Antonio, TX",18,72,"6,800",Moderate,$40–$70,Yes,https://www.republicgc.com/
47,Mission del Lago GC,"San Antonio, TX",18,72,"6,900",Moderate,$30–$50,Yes,https://alamocitygolftrail.com/mission-del-lago-golf-course/
48,Silverhorn GC,"San Antonio, TX",18,72,"6,900",Moderate,$50–$80,Yes,https://www.silverhorngolf.com/
49,Hyatt Hill Country GC,"San Antonio, TX",18,72,"6,900",Moderate,$100+,Limited Public,https://www.hyatthillcountry.com/
50,River Crossing GC,"Seguin, TX",18,72,"6,900",Moderate,$40–$70,Yes,https://www.rivercrossinggc.com/
51,Double J Ranch GC,"Woodcreek, TX",18,72,"6,470",Moderate,~$65,Yes,https://www.doublejranchgc.com/
52,Quicksand GC,"San Marcos, TX",18,72,"6,800",Moderate,$30–$50,Yes,https://www.quicksandgc.com/
